#,Area,English,Bulgarian,Sources
221,Modals,Give every attachment a readable title.,,src/components/modals/CreateAnnouncementModal.tsx
222,Modals,Google link,,src/components/modals/CreateAnnouncementModal.tsx
223,Modals,Grade comment,,src/components/modals/GradeModal.tsx
224,Modals,Hour,,src/components/modals/EditModal/EditClassForm.tsx; src/views/admin/CurriculumArchiveView.tsx
225,Modals,I Year,,src/components/modals/EditModal/EditUserForm.tsx
226,Modals,II Year,,src/components/modals/EditModal/EditUserForm.tsx
227,Modals,Inactive,,src/components/modals/EditModal/EditCourseForm.tsx; src/views/admin/CurriculumArchiveView.tsx
228,Modals,Instructions for students...,,src/components/modals/CreateAssignmentModal.tsx
229,Modals,Loading preview…,,src/components/modals/FilePreviewModal.tsx
230,Modals,Name,,src/components/modals/EditModal/EditUserForm.tsx
231,Modals,Next,,src/components/modals/CreateAnnouncementModal.tsx; src/views/admin/InboxView.tsx; src/views/shared/ClassworkView.tsx; src/views/student/MyAssignmentsView.tsx; src/views/teacher/MyClassesView.tsx
232,Modals,No active ministry teams yet.,,src/components/modals/EditModal/EditUserForm.tsx
233,Modals,No matching students.,,src/components/modals/EditModal/EditUserForm.tsx
234,Modals,No mentees assigned.,,src/components/modals/EditModal/EditUserForm.tsx
235,Modals,No people match your search.,,src/components/modals/CreateAnnouncementModal.tsx
236,Modals,No role,,src/components/modals/CreateAnnouncementModal.tsx
237,Modals,No teacher assigned (Vacant),,src/components/modals/EditModal/EditClassForm.tsx
238,Modals,No teaching year group selected yet.,,src/components/modals/EditModal/EditUserForm.tsx
239,Modals,No teams selected yet.,,src/components/modals/EditModal/EditUserForm.tsx
240,Modals,No translator assigned (Vacant),,src/components/modals/EditModal/EditClassForm.tsx
241,Modals,Notify audience,,src/components/modals/CreateAnnouncementModal.tsx
242,Modals,Number of Sessions,,src/components/modals/EditModal/EditSubjectForm.tsx; src/views/admin/planning/AddPlanningSubjectModal.tsx
243,Modals,Online student,,src/components/modals/EditModal/EditUserForm.tsx
244,Modals,Open attachment in new tab,,src/components/modals/CreateAnnouncementModal.tsx
245,Modals,Open in tab,,src/components/modals/FilePreviewModal.tsx
246,Modals,Open submission,,src/components/modals/GradeModal.tsx; src/components/modals/SubmissionDetailModal.tsx
247,Modals,Optional,,src/components/modals/CreateAnnouncementModal.tsx; src/utils/mentorshipUtils.ts; src/views/student/DutyMarkingView.tsx
248,Modals,Optional feedback for the student...,,src/components/modals/GradeModal.tsx
249,Modals,Paste Google link,,src/components/modals/CreateAnnouncementModal.tsx
250,Modals,"PDF, image, doc, or handout",,src/components/modals/CreateAnnouncementModal.tsx
251,Modals,Phone,,src/components/modals/EditModal/EditUserForm.tsx; src/views/admin/users/UsersHubView.tsx
252,Modals,Pin this post,,src/components/modals/CreateAnnouncementModal.tsx
253,Modals,Pinned,,src/components/modals/CreateAnnouncementModal.tsx
254,Modals,Pinned posts appear at the top of the stream.,,src/components/modals/CreateAnnouncementModal.tsx
255,Modals,Points,,src/components/assignments/AssignmentComposer.tsx; src/components/modals/CreateAssignmentModal.tsx; src/components/modals/GradeModal.tsx; src/views/admin/BooksView.tsx; src/views/shared/ClassworkView.tsx; src/views/shared/GradesView.tsx; src/views/shared/classwork/HomeworkAssignmentDetailPage.tsx
256,Modals,Post title,,src/components/modals/CreateAnnouncementModal.tsx
257,Modals,Post title in Bulgarian,,src/components/modals/CreateAnnouncementModal.tsx
258,Modals,Preview attachment,,src/components/modals/CreateAnnouncementModal.tsx
259,Modals,Previous,,src/components/modals/CreateAnnouncementModal.tsx; src/views/admin/InboxView.tsx; src/views/shared/ClassworkView.tsx; src/views/student/MyAssignmentsView.tsx
260,Modals,Primary Teacher,,src/components/modals/EditModal/EditSubjectForm.tsx; src/views/admin/planning/AddPlanningSubjectModal.tsx
261,Modals,Publish and email at a future time.,,src/components/modals/CreateAnnouncementModal.tsx
262,Modals,Recipients,,src/components/modals/CreateAnnouncementModal.tsx
263,Modals,Remove attachment,,src/components/modals/CreateAnnouncementModal.tsx; src/views/shared/AnnouncementsView.tsx
264,Modals,Remove pending attachment,,src/components/modals/CreateAnnouncementModal.tsx
265,Modals,Return for Revision,,src/components/modals/GradeModal.tsx; src/components/modals/SubmissionDetailModal.tsx
266,Modals,Roles,,src/components/modals/ContactMentorModal.tsx; src/components/modals/EditModal/EditUserForm.tsx; src/views/admin/KnowledgeBaseView.tsx; src/views/admin/users/UsersHubView.tsx
